ajbh,zjqkje,zjshje,zjzxqke,zjyhlx,ywy0,PromisedJe,hsl,age,gender
150807C-02136,0.00990834615791,0.0704960835509,0.00170768200495,0.0,wh18,0.0,0.827652165383,0.37037037037,0.5
150706D-01862,0.00688637104471,0.0,0.00688637104471,0.0,fz05,0.0,0.0,0.148148148148,0.0
160105F-08660,0.007465392605,0.0,0.007465392605,0.0,wh11,0.0,0.0,0.722222222222,0.5
150706D-02466,0.00598906044766,0.0,0.00598906044766,0.0,wh02,0.0,0.0,0.333333333333,0.5
150406B-01486,0.00537962353521,0.0,0.00428620164815,0.0,cz02,0.0,0.0,0.444444444444,0.5
150406B-01987,0.00558343737496,0.0,0.00558343737496,0.0,fz04,0.0,0.0,0.518518518519,0.0
150406B-02014,0.0267802042747,0.0,0.0267802042747,0.0,fz04,0.0,0.0,0.277777777778,0.0
150406B-02017,0.00218847783239,0.0,0.00218847783239,0.0,fz04,0.0,0.0,0.12962962963,0.5
150406B-02043,0.0385577126265,0.000261096605744,0.0385273397963,0.0,fz05,0.0,0.000787723859305,0.296296296296,0.0
150406B-02054,0.116158240574,0.0,0.116158240574,0.0,fz05,0.0,0.0,0.222222222222,0.5
160105F-02580,0.0393099443629,0.0,0.0393099443629,0.0,yc15,0.0,0.0,0.5,0.5
150406B-03266,0.00476283639785,0.0,0.00476283639785,0.0,zz17,0.0,0.0,0.314814814815,0.5
150406B-03379,0.018337146713,0.0,0.018337146713,0.0,wh04,0.0,0.0,0.333333333333,0.5
150406B-03634,0.137645298836,0.0,0.137645298836,0.0,cq01,0.0,0.0,0.740740740741,0.5
150406B-03694,0.00287895553037,0.0,0.00287895553037,0.0,cq01,0.0,0.0,0.481481481481,0.5
150406B-03727,0.0048672338898,0.0,0.0048672338898,0.0,cq01,0.0,0.0,0.5,0.5
160105F-07698,0.00631202690027,0.0,0.00631202690027,0.0,zz14,0.0,0.0,0.259259259259,0.5
160105F-07929,0.00568137152864,0.0,0.00568137152864,0.0,zz14,0.0,0.0,0.203703703704,0.0
150406B-03748,0.00535987512102,0.0,0.00535987512102,0.0,cq01,0.0,0.0,0.148148148148,0.5
150406B-03762,0.00583076940581,0.0,0.00583076940581,0.0,cq01,0.0,0.0,0.277777777778,0.5
160105F-07938,0.0446324730519,0.0,0.0446324730519,0.0,zz14,0.0,0.0,0.240740740741,0.5
150406B-03769,0.0059641911743,0.0,0.0059641911743,0.0,cq01,0.0,0.0,0.203703703704,0.5
150406B-03784,0.00269351725289,0.0,0.00269351725289,0.0,cq01,0.0,0.0,0.185185185185,0.0
150406B-03797,0.00455698757848,0.0,0.00455698757848,0.0,cq01,0.0,0.0,0.351851851852,0.5
150406B-03806,0.0152369797858,0.0,0.0152369797858,0.0,cq01,0.0,0.0,0.5,0.0
150406B-03828,0.0242595570221,0.0,0.0242595570221,0.0,cq01,0.0,0.0,0.148148148148,0.0
160105F-02623,0.00401877495284,0.0,0.00401877495284,0.0,yc13,0.0,0.0,0.259259259259,0.5
150406B-03853,0.0153096619684,0.0,0.0153096619684,0.0,cq01,0.0,0.0,0.185185185185,0.5
150406B-03893,0.0160185334524,0.0,0.0160185334524,0.0,cq01,0.0,0.0,0.425925925926,0.5
150908B-05483,0.00511598736911,0.0,0.00511598736911,0.0,wh11,0.0,0.0,0.37037037037,0.0
150406B-03898,4.81713086911e-06,0.0,4.81713086911e-06,0.0,cq01,0.0,0.0,0.296296296296,0.5
150908B-05502,0.007461207229,0.0,0.007461207229,0.0,wh11,0.0,0.0,0.333333333333,0.0
150406B-03912,0.0132068719646,0.0,0.0132068719646,0.0,cq01,0.0,0.0,0.518518518519,0.0
150406B-03938,0.00554935905948,0.0,0.00554935905948,0.0,cq01,0.0,0.0,0.12962962963,0.5
150406B-03977,0.0128805219787,0.0,0.0128805219787,0.0,cq01,0.0,0.0,0.277777777778,0.5
150908B-04432,0.00465440539405,0.0,0.00465440539405,0.0,zz19,0.0,0.0,0.222222222222,0.0
150706B-02804,0.0097722090584,0.0,0.0097722090584,0.0,LZ16,0.0,0.0,0.296296296296,0.5
150407K-03924,0.000553635948815,0.0,0.000553635948815,0.0,xacz14,0.0,0.0,0.259259259259,0.0
150706B-02817,0.00932607470478,0.0,0.00932607470478,0.0,LZ16,0.0,0.0,0.314814814815,0.5
150407K-03965,0.00870301861527,0.0,0.00870301861527,0.0,xacz14,0.0,0.0,0.574074074074,0.5
150407K-03996,0.00215378598574,0.0,0.00215378598574,0.0,xacz14,0.0,0.0,0.203703703704,0.0
150706B-03193,0.0581398234256,0.0,0.0581398234256,0.0,LZ16,0.0,0.0,0.388888888889,0.5
150706B-03252,0.0169451356069,0.0,0.0169451356069,0.0,LZ16,0.0,0.0,0.203703703704,0.5
150406B-02041,0.038620304955,0.00182767624021,0.0382862038228,0.0,fz05,0.0,0.00550513030958,0.314814814815,0.5
150706B-03623,0.0112021558295,0.0,0.0112021558295,0.0,nc65,0.0,0.0,0.203703703704,0.5
150706B-03750,0.0634049777776,0.00261096605744,0.0631012495364,0.0,nc65,0.0,0.0047902911192,0.481481481481,0.0
151008D-12602,0.00403120351495,0.0346537859008,0.0,0.0,hk18,0.0,1.0,0.148148148148,0.5
151008D-03936,0.000713069009081,0.0,0.000713069009081,0.0,cq13,0.0,0.0,0.425925925926,0.5
151008D-12630,0.0101696982872,0.0,0.0101696982872,0.0,hk18,0.0,0.0,0.351851851852,0.5
151008D-04012,0.000558787180817,0.0,0.000558787180817,0.0,cq13,0.0,0.0,0.296296296296,0.5
151008D-04034,0.0064915181776,0.0,0.0064915181776,0.0,cq13,0.0,0.0,0.203703703704,0.5
151008D-12713,0.0199683499315,0.0,0.0199683499315,0.0,hk17,0.0,0.0,0.277777777778,0.0
151008D-15774,0.00567094757332,0.0156657963446,0.00384857776155,0.0,cd53,0.0,0.321351906045,0.185185185185,0.5
151008D-15829,0.00279828529337,0.0,0.00279828529337,0.0,cd59,0.0,0.0,0.259259259259,0.5
151008D-04157,0.09445950191,0.0,0.09445950191,0.0,cq13,0.0,0.0,0.5,0.0
150908B-01364,0.00748956330327,0.0,0.00748956330327,0.0,yc10,0.0,0.0,0.203703703704,0.5
150605F-01625,0.023464894442,0.0,0.023464894442,0.0,fz04,0.0,0.0,0.259259259259,0.0
150505Q-02200,0.014389316617,0.0,0.014389316617,0.0,fz11,0.0,0.0,0.425925925926,0.5
150605F-01683,0.0417641054901,0.0,0.0417641054901,0.0,fz11,0.0,0.0,0.740740740741,0.5
151008D-04258,0.00361374718761,0.0,0.00361374718761,0.0,cq29,0.0,0.0,0.592592592593,0.5
150908B-04572,0.0194364609292,0.0,0.0194364609292,0.0,zz14,0.0,0.0,0.314814814815,0.5
151008D-08588,0.0265939641545,0.0,0.0265939641545,0.0,zz21,0.0,0.0,0.314814814815,0.5
151008D-08591,0.00590808648236,0.0,0.00590808648236,0.0,zz21,0.0,0.0,0.240740740741,0.5
151008D-08617,0.0220524667194,0.0,0.0220524667194,0.0,zz19,0.0,0.0,0.314814814815,0.5
150505Q-01523,0.0297437724354,0.000522193211488,0.029683026775,0.0,fz11,0.0,0.00204229845169,0.425925925926,0.0
150505Q-01530,0.0237855586341,0.0156657963446,0.0219631888223,0.0,fz04,0.0,0.0766166496152,0.259259259259,0.5
150505Q-01567,0.021982524166,0.0,0.021982524166,0.0,fz04,0.0,0.0,0.185185185185,0.5
151008D-08777,0.00878100996865,0.0,0.00878100996865,0.0,zz14,0.0,0.0,0.259259259259,0.5
150505Q-01579,0.0701957412882,0.0,0.0701957412882,0.0,fz11,0.0,0.0,0.185185185185,0.5
150505Q-01582,0.0235294306316,0.0,0.0235294306316,0.0,fz11,0.0,0.0,0.185185185185,0.5
150505Q-01639,0.123245825545,0.000261096605744,0.123185079884,0.0,fz11,0.0,0.000246441046274,0.5,0.5
